verified,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean
0,0,9,0,51,3,2,131,122,51200,51200.0
0,0,9,0,51,23,7,69,46,45000,45000.0
0,0,9,0,53,1,3,78,89,25500,25500.0
0,0,9,0,60,13,5,5,24,6458,6458.0
0,0,9,1,9,0,1,21,64,27800,27800.0
0,0,9,1,27,2,2,20,16,40800,40800.0
0,0,10,0,5,3,1,1,12,28100,28100.0
0,0,10,0,9,9,5,223,315,30500,30500.0
0,0,10,0,9,23,7,53,89,106200,106200.0
0,0,10,0,16,22,3,55,297,95200,95200.0
0,0,10,0,25,12,7,55,103,24000,24000.0
0,0,10,0,30,15,1,250,73,95400,95400.0
0,0,10,0,35,14,4,1799,713,170700,170700.0
0,0,10,0,57,3,6,287,221,69100,69100.0
0,0,10,1,10,18,3,147,304,209700,209700.0
0,0,10,1,12,23,1,23,217,197700,197700.0
0,0,10,1,15,14,7,124,678,2100000,2100000.0
0,0,10,1,31,17,7,268,538,117200,117200.0
0,0,11,0,8,9,6,226,121,384900,384900.0
0,0,11,0,10,18,5,0,2,484,484.0
0,0,11,0,10,18,7,142,980,297500,297500.0
0,0,11,0,12,18,1,14,26,38100,38100.0
0,0,11,0,15,5,5,2564,5892,478400,478400.0
0,0,11,0,15,18,5,457,578,198500,198500.0
0,0,11,0,17,14,6,118,424,29000,29000.0
0,0,11,0,20,3,5,3008,102,462600,462600.0
0,0,11,0,25,20,3,7,10,157200,157200.0
0,0,11,0,33,11,4,80,156,327900,327900.0
0,0,11,0,52,2,6,66,31,36600,36600.0
0,0,11,0,58,4,2,100,148,127500,127500.0
0,0,11,1,7,22,3,168,77,95700,95700.0
0,0,11,1,12,15,3,14,36,89600,89600.0
0,0,11,1,21,18,5,5,91,52600,52600.0
0,0,11,1,54,15,4,18,112,81900,81900.0
0,0,12,0,8,3,6,44,37,97100,97100.0
0,0,12,0,9,15,7,42,36,396700,396700.0
0,0,12,0,13,18,3,18,30,73600,73600.0
0,0,12,0,15,5,6,13,75,26200,26200.0
0,0,12,0,15,16,2,1,54,8071,8071.0
0,0,13,0,13,0,6,6645,644,1100000,1100000.0
0,0,14,1,7,22,1,69,117,65200,65200.0
0,0,15,0,29,11,7,3,36,44600,44600.0
0,0,15,0,58,18,2,45,143,40500,40500.0
0,0,15,0,59,15,7,2267,579,620300,620300.0
0,0,17,0,29,16,5,1,36,60300,60300.0
0,0,17,0,59,11,7,286,207,64200,64200.0
0,0,18,1,14,12,3,14,678,99700,99700.0
0,1,0,0,5,17,3,161,474,140300,140300.0
0,1,0,0,6,13,5,9,60,36000,36000.0
0,1,0,0,7,16,4,19,31,56800,56800.0
0,1,0,0,7,17,3,7,43,30300,30300.0
0,1,0,0,7,19,4,80,64,59400,59400.0
0,1,0,0,7,21,6,385,80,118900,118900.0
0,1,0,0,8,9,3,4285,1191,311800,311800.0
0,1,0,0,8,12,6,1222,602,181200,181200.0
0,1,0,0,8,13,7,0,5,16400,16400.0
0,1,0,0,8,14,5,113,30,44800,44800.0
0,1,0,0,8,15,1,573,38,36900,36900.0
0,1,0,0,8,16,7,7,3,49000,49000.0
0,1,0,0,8,19,3,50,33,53500,53500.0
0,1,0,0,8,20,6,3902,522,1800000,1800000.0
0,1,0,0,9,4,2,0,93,10400,10400.0
0,1,0,0,9,18,1,425,30,81000,81000.0
0,1,0,0,9,19,2,71,161,64800,64800.0
0,1,0,0,10,1,4,27,24,35100,35100.0
0,1,0,0,10,5,4,41,60,45000,45000.0
0,1,0,0,10,7,2,47,28,43500,43500.0
0,1,0,0,10,9,6,2,55,33700,33700.0
0,1,0,0,10,11,3,3,14,29200,29200.0
0,1,0,0,10,11,4,60,171,47400,47400.0
0,1,0,0,10,11,4,74,98,102600,102600.0
0,1,0,0,10,12,5,44,371,63200,63200.0
0,1,0,0,10,16,2,86,368,382100,382100.0
0,1,0,0,10,16,2,194,436,291100,291100.0
0,1,0,0,10,18,7,21,79,72300,72300.0
0,1,0,0,10,20,5,286,843,623000,623000.0
0,1,0,0,10,21,3,302,577,6600000,6600000.0
0,1,0,0,11,2,3,1,12,15300,15300.0
0,1,0,0,11,10,7,0,4,62200,62200.0
0,1,0,0,11,14,7,105,119,104400,104400.0
0,1,0,0,11,19,5,29,73,215600,215600.0
0,1,0,0,11,21,2,31,26,28200,28200.0
0,1,0,0,12,10,3,41900,4398,7200000,7200000.0
0,1,0,0,12,12,2,26,77,182800,182800.0
0,1,0,0,12,15,3,39,38,5127,5127.0
0,1,0,0,12,15,5,20,491,143000,143000.0
0,1,0,0,12,18,4,27,0,142600,142600.0
0,1,0,0,12,21,1,24,80,11900,11900.0
0,1,0,0,12,23,3,0,4,8916,8916.0
0,1,0,0,13,17,6,197,143,94900,94900.0
0,1,0,0,13,19,3,2,4,19800,19800.0
0,1,0,0,14,0,5,61,13,10600,10600.0
0,1,0,0,14,5,6,8,20,22700,22700.0
0,1,0,0,14,6,1,1,7,27800,27800.0
0,1,0,0,14,7,1,56,48,81700,81700.0
0,1,0,0,14,8,2,78,60,32000,32000.0
0,1,0,0,14,10,7,24,27,18700,18700.0
0,1,0,0,14,13,6,362,829,1200000,1200000.0
0,1,0,0,14,19,2,10,0,465,465.0
0,1,0,0,14,23,3,34,35,72500,72500.0
0,1,0,0,15,5,3,1,2,32000,32000.0
0,1,0,0,15,5,4,3,10,9667,9667.0
0,1,0,0,15,7,7,3,65,41600,41600.0
0,1,0,0,15,8,5,10,188,74700,74700.0
0,1,0,0,15,9,7,6,62,9615,9615.0
0,1,0,0,15,10,6,57,213,124000,124000.0
0,1,0,0,15,12,4,9,861,49600,49600.0
0,1,0,0,15,13,1,8,4,1084,1084.0
0,1,0,0,15,15,7,35,215,146000,146000.0
0,1,0,0,15,16,7,4,8,8766,8766.0
0,1,0,0,15,18,6,2497,947,547700,547700.0
0,1,0,0,15,20,2,13,100,54900,54900.0
0,1,0,0,16,13,7,127,338,598200,598200.0
0,1,0,0,16,14,3,220,227,7400000,7400000.0
0,1,0,0,18,14,7,1,5,12300,12300.0
0,1,0,0,18,16,4,66,38,33700,33700.0
0,1,0,0,20,8,7,518,370,1700000,1700000.0
0,1,0,0,20,12,3,15,21,134900,134900.0
0,1,0,0,22,4,5,2,12,14000,14000.0
0,1,0,0,23,6,7,32,47,124400,124400.0
0,1,0,0,23,23,3,1284,934,1100000,1100000.0
0,1,0,0,24,8,2,1299,864,4400000,4400000.0
0,1,0,0,24,20,7,0,95,44000,44000.0
0,1,0,0,25,16,5,5,4,19300,19300.0
0,1,0,0,26,7,6,43,23,26100,26100.0
0,1,0,0,28,22,3,291,107,69700,69700.0
