verified,diggCount,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean,z_score
0,7045,1,2,0,20,11,5,88,232,46800,46800.0,-0.23678977207339663
0,7064,1,9,0,41,4,7,103,102,70600,70600.0,-0.2239498754829627
0,7070,1,10,0,40,20,2,63,222,97900,97900.0,-0.2092217588057002
0,7076,0,14,1,7,22,1,69,117,65200,65200.0,-0.2268631293312124
0,7161,1,10,0,5,22,1,6,80,161600,161600.0,-0.17485615322542108
0,7187,1,3,0,15,15,6,70,160,72100,72100.0,-0.2231406383028933
0,7191,1,7,0,11,18,5,98,181,83500,83500.0,-0.21699043573436613
0,7207,0,8,1,17,6,2,2,59,71400,71400.0,-0.22351828232025903
0,7207,1,7,0,9,21,5,262,119,54800,54800.0,-0.23247384044636002
0,7216,1,6,1,8,12,5,220,181,71600,71600.0,-0.2234103840295831
0,7222,0,6,0,15,15,4,1283,287,76400,76400.0,-0.22082082505336112
0,7226,1,10,0,17,18,4,16,96,74700,74700.0,-0.2217379605241064
0,7268,1,7,0,19,23,5,480,100,100500,100500.0,-0.2078190810269133
0,7270,0,1,0,13,10,4,28,221,26800,26800.0,-0.2475796011409882
0,7281,1,6,0,11,18,6,226,175,125200,125200.0,-0.19449364212843773
0,7320,0,11,0,17,14,6,118,424,29000,29000.0,-0.24639271994355313
0,7326,1,0,1,15,15,3,48,141,127900,127900.0,-0.19303701520431285
0,7367,0,2,2,25,16,6,598,387,133900,133900.0,-0.18980006648403538
0,7407,1,5,0,30,21,6,28,41,78100,78100.0,-0.21990368958261583
0,7418,1,5,3,25,17,7,464,108,80800,80800.0,-0.21844706265849098
0,7436,0,1,0,13,19,5,57,68,62900,62900.0,-0.22810395967398542
0,7446,1,5,0,13,8,7,30,327,48800,48800.0,-0.23571078916663749
0,7508,1,0,0,37,0,2,18,17,58500,58500.0,-0.23047772206885558
0,7575,1,2,0,13,14,4,84,93,67200,67200.0,-0.22578414642445324
0,7657,1,3,1,8,15,1,88,515,183900,183900.0,-0.16282549381505648
0,7700,0,1,0,13,23,3,171,129,52500,52500.0,-0.23371467078913305
0,7721,0,4,0,6,18,7,4,143,89900,89900.0,-0.21353769043273682
0,7742,0,3,0,18,16,6,212,92,68200,68200.0,-0.22524465497107365
0,7748,1,0,0,15,15,7,35,215,146000,146000.0,-0.1832722198981425
0,7868,1,2,0,9,20,7,175,87,130100,130100.0,-0.19185013400687778
0,7940,0,1,0,10,20,2,117,91,113300,113300.0,-0.2009135904236547
0,7961,1,6,0,41,9,2,432,77,109800,109800.0,-0.2028018105104832
0,7986,0,7,0,13,1,3,65,165,58500,58500.0,-0.23047772206885558
0,7993,0,0,0,15,16,7,289,358,50100,50100.0,-0.23500945027724401
0,7996,0,0,1,31,12,7,5,29,98700,98700.0,-0.20879016564299654
0,8013,1,4,0,6,20,2,280,98,147600,147600.0,-0.18240903357273516
0,8042,1,4,1,15,18,5,785,208,289800,289800.0,-0.10569334890215917
0,8080,1,11,1,59,16,3,142,178,90800,90800.0,-0.2130521481246952
0,8082,1,2,0,59,1,3,354,568,137200,137200.0,-0.18801974468788277
0,8093,1,5,1,34,9,1,83,65,76900,76900.0,-0.22055107932667134
0,8133,1,0,0,7,21,6,385,80,118900,118900.0,-0.19789243828472905
0,8135,1,6,0,29,2,6,35,250,58000,58000.0,-0.23074746779554536
0,8146,1,0,0,15,20,2,13,100,54900,54900.0,-0.23241989130102206
0,8161,1,5,0,13,15,2,420,131,66100,66100.0,-0.2263775870231708
0,8204,0,1,0,12,17,1,93,297,86200,86200.0,-0.21553380881024126
0,8232,1,2,0,6,21,5,74,35,212700,212700.0,-0.14728813995772463
0,8243,0,10,0,9,9,5,223,315,30500,30500.0,-0.24558348276348377
0,8283,1,11,0,21,18,3,43,119,63700,63700.0,-0.22767236651128175
0,8284,1,7,0,29,16,2,201,247,53400,53400.0,-0.23322912848109142
0,8302,1,4,0,13,12,2,119,84,78700,78700.0,-0.2195799947105881
0,8348,0,3,0,13,7,2,4447,26,634300,634300.0,0.08016145678710547
0,8501,1,10,1,13,17,3,46,60,79600,79600.0,-0.21909445240254646
0,8516,1,8,0,9,13,6,380,70,50300,50300.0,-0.23490155198656812
0,8581,1,1,0,18,21,2,182,62,117800,117800.0,-0.1984858788834466
0,8606,1,5,0,7,19,7,445,147,50900,50900.0,-0.23457785711454038
0,8639,1,3,0,9,14,3,496,459,102500,102500.0,-0.20674009812015415
0,8691,1,7,0,16,12,6,46,151,78100,78100.0,-0.21990368958261583
0,8805,1,2,0,22,7,7,198,52,115300,115300.0,-0.19983460751689555
0,8819,1,11,0,9,19,4,963,341,125200,125200.0,-0.19449364212843773
0,8831,1,4,0,14,16,1,117,238,103300,103300.0,-0.20630850495745048
0,8839,0,7,1,17,19,4,43,436,74000,74000.0,-0.2221156045414721
0,8851,1,10,0,7,3,7,115,334,88800,88800.0,-0.21413113103145437
0,8860,1,2,0,13,10,2,71,25,113800,113800.0,-0.20064384469696492
0,8960,1,8,1,55,21,5,59,562,56800,56800.0,-0.23139485753960085
0,8971,1,11,1,57,2,1,67,271,61900,61900.0,-0.228643451127365
0,8990,0,3,0,19,8,6,440,380,246400,246400.0,-0.12910727797883287
0,9007,0,6,0,7,22,7,14,107,96100,96100.0,-0.21019284342178343
0,9021,1,3,0,8,23,4,63,100,78000,78000.0,-0.2199576387279538
0,9025,1,6,0,14,17,5,1,67,67000,67000.0,-0.22589204471512916
0,9030,1,14,0,8,22,1,63,239,79200,79200.0,-0.2193102489838983
0,9048,1,12,1,6,1,4,180,52,80500,80500.0,-0.21860891009450487
0,9073,1,10,1,57,21,4,14,130,81300,81300.0,-0.2181773169318012
0,9085,1,10,1,57,17,6,22,118,61700,61700.0,-0.22875134941804093
0,9129,1,10,0,39,15,1,59,231,54500,54500.0,-0.23263568788237388
0,9136,0,8,0,18,22,5,134,43,179900,179900.0,-0.1649834596285748
0,9233,1,6,0,53,1,4,48,156,90200,90200.0,-0.21337584299672294
0,9247,1,7,0,21,15,7,27,60,99600,99600.0,-0.20830462333495492
0,9254,1,9,0,8,6,2,2,22,64700,64700.0,-0.2271328750579022
0,9280,1,6,0,6,14,3,35,53,144100,144100.0,-0.1842972536595637
0,9288,1,9,0,9,23,5,183,93,52400,52400.0,-0.23376861993447098
0,9303,1,0,0,15,12,4,9,861,49600,49600.0,-0.23527919600393382
0,9387,1,0,0,9,19,2,71,161,64800,64800.0,-0.22707892591256423
